model,accuracy,f1,auc,precision,recall,tp,tn,fp,fn
Logistic Regression,0.7196958289414245,0.7090578678888938,0.7938898125338671,0.7122975839412282,0.5133099694280814,13768,34027,5561,13054
Random Forest (tuned),0.8510164131907845,0.8521356487035534,0.9221844983005816,0.7790452327574838,0.8809932145253896,23630,32886,6702,3192
