model,rmse_log,r2_log,mae_log,rmse_orig,mae_orig
Linear Regression,3.1197884046330846,0.08630533029788634,2.5653884395972373,102722.0923216035,10215.920162284248
GBT Regressor (tuned),2.8747033994209987,0.2242230042539075,2.3122068646208347,102142.05012168671,9884.931945349454
